antecedents,consequents,support,confidence,lift
Organic Grape Tomatoes,Banana,0.018466504244192362,0.4381443298969072,1.5320667840298767
Banana,Organic Grape Tomatoes,0.018466504244192362,0.064572141733138,1.5320667840298767
Banana,Organic Blueberries,0.018404431961018607,0.06435509251722829,1.5297331305432345
Organic Blueberries,Banana,0.018404431961018607,0.4374769457764663,1.5297331305432342
Organic Whole Milk,Banana,0.02759888890613119,0.43569328760411563,1.5234961824568245
Banana,Organic Whole Milk,0.02759888890613119,0.09650550762385371,1.5234961824568245
Organic Grade A Free Range Large Brown Eggs,Organic Strawberries,0.011654071165872658,0.20575342465753424,1.5233176055096695
Organic Strawberries,Organic Grade A Free Range Large Brown Eggs,0.011654071165872658,0.08628216911764705,1.5233176055096695
Large Lemon,Organic Unsweetened Almond Milk,0.015432721404075046,0.16128770677911125,1.4939688245727625
Organic Unsweetened Almond Milk,Large Lemon,0.015432721404075046,0.14294954721862874,1.4939688245727625
Banana,Original Hummus,0.017062118837386137,0.059661403223180864,1.4907485401725469
Original Hummus,Banana,0.017062118837386137,0.4263280341217527,1.4907485401725469
Organic Baby Carrots,Organic Unsweetened Almond Milk,0.015882745457084776,0.16029757243539547,1.4847974508134714
Organic Unsweetened Almond Milk,Organic Baby Carrots,0.015882745457084776,0.14711801063676874,1.4847974508134714
Large Lemon,Banana,0.04061855030182648,0.4245053519299384,1.4843751361287731
Banana,Large Lemon,0.04061855030182648,0.14203158066091487,1.4843751361287731
Banana,Fresh Cauliflower,0.013632625192036125,0.04766943404416952,1.4839932363479846
Fresh Cauliflower,Banana,0.013632625192036125,0.4243961352657005,1.4839932363479846
Limes,Organic Strawberries,0.010699709812076163,0.2004360465116279,1.4839498245928096
Organic Strawberries,Limes,0.010699709812076163,0.07921645220588236,1.4839498245928096
Banana,Organic Baby Arugula,0.011568721776508745,0.040452547615171745,1.4690350075341123
Organic Baby Arugula,Banana,0.011568721776508745,0.4201183431952663,1.4690350075341123
Banana,Asparagus,0.016348287580887945,0.05716533724021922,1.4618220226575267
Asparagus,Banana,0.016348287580887945,0.41805555555555557,1.4618220226575267
Lime Sparkling Water,Spring Water,0.01030399900684347,0.18641212801796744,1.4596092274126173
Spring Water,Lime Sparkling Water,0.01030399900684347,0.08068043742405832,1.4596092274126171
Banana,"Clementines, Bag",0.01118852904206949,0.03912312116772478,1.4451894818970208
"Clementines, Bag",Banana,0.01118852904206949,0.4132989395242189,1.4451894818970206
Original Orange Juice,Banana,0.017209540509923807,0.41157914269808876,1.4391758388739238
Banana,Original Orange Juice,0.017209540509923807,0.06017689511096642,1.4391758388739235
Organic Lowfat 1% Milk,Banana,0.011824769944600487,0.41133603238866395,1.4383257508903302
Banana,Organic Lowfat 1% Milk,0.011824769944600487,0.04134787563079929,1.4383257508903302
Banana,Organic Blackberries,0.012476528917924924,0.04362689239785122,1.434367639290781
Organic Blackberries,Banana,0.012476528917924924,0.4102040816326531,1.4343676392907807
Organic Whole Milk,Organic Avocado,0.0158129141385143,0.24963253307202354,1.4324001659493584
Organic Avocado,Organic Whole Milk,0.0158129141385143,0.09073505186768177,1.4324001659493584
Organic Unsweetened Almond Milk,Organic Raspberries,0.010474697785571297,0.09702457956015524,1.4214757147745742
Organic Raspberries,Organic Unsweetened Almond Milk,0.010474697785571297,0.15346140729794247,1.421475714774574
Banana,Organic Small Bunch Celery,0.010234167688272995,0.03578598947311303,1.4208779714336888
Organic Small Bunch Celery,Banana,0.010234167688272995,0.4063462723351818,1.4208779714336888
2% Reduced Fat Milk,Organic Strawberries,0.011002312192548222,0.19156984598757093,1.418307955570434
Organic Strawberries,2% Reduced Fat Milk,0.011002312192548222,0.08145680147058823,1.4183079555704339
Organic Unsweetened Almond Milk,Red Peppers,0.011591998882698903,0.1073738680465718,1.4144070790656447
Red Peppers,Organic Unsweetened Almond Milk,0.011591998882698903,0.1526982829108749,1.4144070790656447
Organic Garlic,Banana,0.01923464874846759,0.4025657681065281,1.4076586175350143
Banana,Organic Garlic,0.01923464874846759,0.06725812578002062,1.4076586175350143
Russet Potato,Banana,0.010063468909545166,0.40229528535980147,1.406712815881001
Banana,Russet Potato,0.010063468909545166,0.03518910412936133,1.406712815881001
Organic Half & Half,Banana,0.01675175742151736,0.4018239344872511,1.4050646352104266
Banana,Organic Half & Half,0.01675175742151736,0.058576157143632325,1.4050646352104266
Banana,2% Reduced Fat Milk,0.023059853199050295,0.08063378371045636,1.4039777509012479
2% Reduced Fat Milk,Banana,0.023059853199050295,0.40151310456633343,1.4039777509012477
Organic Yellow Onion,Banana,0.031268912648779505,0.39708345649817717,1.388488524618755
Banana,Organic Yellow Onion,0.031268912648779505,0.10933854251451518,1.388488524618755
Organic Ginger Root,Banana,0.010335035148430347,0.39419946729801714,1.3784040301780631
Banana,Organic Ginger Root,0.010335035148430347,0.03613869444896631,1.3784040301780631
Banana,Limes,0.020817491969398364,0.07279288078571816,1.3636180321838558
Limes,Banana,0.020817491969398364,0.38997093023255813,1.3636180321838558
Organic Red Onion,Banana,0.0163715646870781,0.38822447102115915,1.3575111583414465
Banana,Organic Red Onion,0.0163715646870781,0.057246730696185355,1.3575111583414463
Banana,Boneless Skinless Chicken Breasts,0.012360143386974132,0.043219925118020516,1.3461262419189755
Boneless Skinless Chicken Breasts,Banana,0.012360143386974132,0.3849685838569358,1.3461262419189755
Organic Yellow Onion,Organic Strawberries,0.014191275740599928,0.18021479948763425,1.3342396477231893
Organic Strawberries,Organic Yellow Onion,0.014191275740599928,0.10506663602941176,1.334239647723189
Banana,Organic Cilantro,0.016053444235812602,0.05613435346464811,1.3216492040976942
Organic Cilantro,Banana,0.016053444235812602,0.3779685787358421,1.321649204097694
Grated Parmesan,Banana,0.013306745705373909,0.3768402548890354,1.31770377477369
Banana,Grated Parmesan,0.013306745705373909,0.046529925660643554,1.3177037747736897
Banana,Creamy Peanut Butter,0.010234167688272995,0.03578598947311303,1.3102755384300437
Creamy Peanut Butter,Banana,0.010234167688272995,0.3747159090909091,1.3102755384300437
Organic Yellow Onion,Organic Unsweetened Almond Milk,0.011064384475721977,0.14050645383781651,1.301477129763222
Organic Unsweetened Almond Milk,Organic Yellow Onion,0.011064384475721977,0.1024867040390973,1.301477129763222
Organic Strawberries,Organic Unsweetened Almond Milk,0.018877733120218496,0.13976332720588236,1.2945937283993483
Organic Unsweetened Almond Milk,Organic Strawberries,0.018877733120218496,0.17485985338507978,1.294593728399348
Banana,Sharp Cheddar Cheese,0.011754938626030012,0.04110369526290086,1.2342792294671923
Sharp Cheddar Cheese,Banana,0.011754938626030012,0.35298229263746506,1.2342792294671923
Sparkling Water Grapefruit,Banana,0.011568721776508745,0.34569904938557855,1.2088117880219258
Banana,Sparkling Water Grapefruit,0.011568721776508745,0.040452547615171745,1.2088117880219256
Organic Avocado,2% Reduced Fat Milk,0.011770456696823452,0.06753929032545301,1.1759793050155412
2% Reduced Fat Milk,Organic Avocado,0.011770456696823452,0.20494460956498245,1.175979305015541
Lime Sparkling Water,Organic Avocado,0.011072143511118697,0.2003088152723189,1.1493789559648726
Organic Avocado,Lime Sparkling Water,0.011072143511118697,0.0635323449534749,1.1493789559648726
Lime Sparkling Water,Banana,0.01803199826197607,0.326221224031443,1.1407033424391024
Banana,Lime Sparkling Water,0.01803199826197607,0.06305279722177004,1.1407033424391024
Large Lemon,Spring Water,0.01373349265219348,0.1435290301654233,1.1238340501688995
Spring Water,Large Lemon,0.01373349265219348,0.10753341433778858,1.1238340501688995
Spring Water,Organic Avocado,0.011173010971276051,0.08748481166464156,1.0750588765219615
Organic Avocado,Spring Water,0.011173010971276051,0.13729977116704806,1.0750588765219615
Spring Water,Organic Unsweetened Almond Milk,0.014393010660914635,0.11269744835965978,1.0438890714021614
Organic Unsweetened Almond Milk,Spring Water,0.014393010660914635,0.13331895932154664,1.0438890714021611
Banana,Spring Water,0.03675455067426018,0.1285202669705356,1.0063152519864258
Spring Water,Banana,0.03675455067426018,0.2877885783718105,1.0063152519864258
